frameRate	psychopyVersion	expName	date	eeg_record	stim_set	id	TrialNumber	image	category	subcategory	image_file	repeat	ran	order	break_text.started	break_text.stopped	delay_red_fix.started	delay_red_fix.stopped	jitter	stim_image.started	stim_image.stopped	photosensor_dot.started	photosensor_dot.stopped	trial_red_rix.started	trial_red_rix.stopped	response.keys	response.started	response.stopped	resp	rt	correct	response.rt
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	41	manmade_015.jpg	scenes	manmade	sof_images/scenes/manmade_015.jpg	1	1	40	None	None	None	None	131	392.02924	392.52966	392.02924	392.52966	391.5289	391.528894	None	392.02924	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	42	manmade_015.jpg	scenes	manmade	sof_images/scenes/manmade_015.jpg	2	1	41	None	None	None	None	111	394.35095	394.8513	394.35095	394.8513	393.85052	393.8505189	j	394.35095	None	j	0.9702495	1	0.9702495
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	43	neutral_008.jpg	faces	male	sof_images/faces/neutral_008.jpg	1	1	42	None	None	None	None	115	396.47235	396.9727	396.47235	396.9727	395.97214	395.9721372	None	396.47235	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	44	natural_048.jpg	scenes	natural	sof_images/scenes/natural_048.jpg	1	1	43	None	None	None	None	132	398.64395	399.1443	398.64395	399.1443	398.14352	398.1435244	None	398.64395	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	45	anise.jpg	objects	natural	sof_images/objects/anise.jpg	1	1	44	None	None	None	None	120	400.9955	401.49588	400.9955	401.49588	400.49515	400.4951604	None	400.9955	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	46	neutral_063.jpg	faces	male	sof_images/faces/neutral_063.jpg	1	1	45	None	None	None	None	114	403.22705	403.72742	403.22705	403.72742	402.7267	402.7267187	None	403.22705	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	47	spoon.jpg	objects	manmade	sof_images/objects/spoon.jpg	1	1	46	None	None	None	None	121	405.39856	405.89893	405.39856	405.89893	404.89825	404.8982527	None	405.39856	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	48	cork.jpg	objects	manmade	sof_images/objects/cork.jpg	1	1	47	None	None	None	None	113	407.62024	408.12054	407.62024	408.12054	407.11978	407.1197826	None	407.62024	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	49	neutral_054.jpg	faces	female	sof_images/faces/neutral_054.jpg	1	1	48	None	None	None	None	124	409.78165	410.28198	409.78165	410.28198	409.2814	409.281395	None	409.78165	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	50	neutral_084.jpg	faces	female	sof_images/faces/neutral_084.jpg	1	1	49	None	None	None	None	110	412.0432	412.54367	412.0432	412.54367	411.54288	411.5428717	j	412.0432	None	j	1.246007	0	1.246007
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	51	neutral_041.jpg	faces	male	sof_images/faces/neutral_041.jpg	1	1	50	None	None	None	None	122	414.1648	414.66507	414.1648	414.66507	413.6644	413.6644068	None	414.1648	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	52	paintbrush.jpg	objects	manmade	sof_images/objects/paintbrush.jpg	1	1	51	None	None	None	None	128	416.40634	416.90662	416.40634	416.90662	415.90607	415.9060631	None	416.40634	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	53	neutral_044.jpg	faces	female	sof_images/faces/neutral_044.jpg	1	1	52	None	None	None	None	136	418.70786	419.20822	418.70786	419.20822	418.20752	418.2075187	None	418.70786	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	54	neutral_013.jpg	faces	female	sof_images/faces/neutral_013.jpg	1	1	53	None	None	None	None	139	421.09955	421.59988	421.09955	421.59988	420.59924	420.5992512	None	421.09955	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	55	neutral_069.jpg	faces	male	sof_images/faces/neutral_069.jpg	1	1	54	None	None	None	None	118	423.51126	424.01157	423.51126	424.01157	423.0109	423.0108972	None	423.51126	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	56	key.jpg	objects	manmade	sof_images/objects/key.jpg	1	1	55	None	None	None	None	134	425.70276	426.20312	425.70276	426.20312	425.2024	425.2024065	None	425.70276	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	57	neutral_071.jpg	faces	female	sof_images/faces/neutral_071.jpg	1	1	56	None	None	None	None	138	428.06445	428.56476	428.06445	428.56476	427.56412	427.5641074	None	428.06445	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	58	cactusfruit.jpg	objects	natural	sof_images/objects/cactusfruit.jpg	1	1	57	None	None	None	None	127	430.4761	430.97644	430.4761	430.97644	429.97574	429.9757473	None	430.4761	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	59	neutral_086.jpg	faces	female	sof_images/faces/neutral_086.jpg	1	1	58	None	None	None	None	121	432.77768	433.27805	432.77768	433.27805	432.27734	432.2773497	None	432.77768	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	60	arugula.jpg	objects	natural	sof_images/objects/arugula.jpg	1	1	59	None	None	None	None	127	435.00934	435.5096	435.00934	435.5096	434.5089	434.5089052	None	435.00934	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	61	natural_026.jpg	scenes	natural	sof_images/scenes/natural_026.jpg	1	1	60	None	None	None	None	138	437.32086	437.8213	437.32086	437.8213	436.82056	436.8205516	None	437.32086	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	62	natural_026.jpg	scenes	natural	sof_images/scenes/natural_026.jpg	2	1	61	None	None	None	None	119	439.72253	440.2229	439.72253	440.2229	439.2223	439.22229	j	439.72253	None	j	0.7816614	1	0.7816614
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	63	minifridge.jpg	objects	manmade	sof_images/objects/minifridge.jpg	1	1	62	None	None	None	None	118	441.94418	442.4445	441.94418	442.4445	441.44376	441.4437423	None	441.94418	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	64	natural_028.jpg	scenes	natural	sof_images/scenes/natural_028.jpg	1	1	63	None	None	None	None	117	444.14578	444.646	444.14578	444.646	443.64536	443.6453642	None	444.14578	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	65	chipmunk.jpg	objects	natural	sof_images/objects/chipmunk.jpg	1	1	64	None	None	None	None	115	446.34717	446.84753	446.34717	446.84753	445.84683	445.8468239	None	446.34717	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	66	manmade_002.jpg	scenes	manmade	sof_images/scenes/manmade_002.jpg	1	1	65	None	None	None	None	127	448.52878	449.02902	448.52878	449.02902	448.0284	448.0284028	None	448.52878	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	67	natural_016.jpg	scenes	natural	sof_images/scenes/natural_016.jpg	1	1	66	None	None	None	None	115	450.82037	451.32065	450.82037	451.32065	450.3199	450.3198891	None	450.82037	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	68	neutral_064.jpg	faces	female	sof_images/faces/neutral_064.jpg	1	1	67	None	None	None	None	112	452.99182	453.4921	452.99182	453.4921	452.49146	452.4914668	None	452.99182	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	69	neutral_064.jpg	faces	female	sof_images/faces/neutral_064.jpg	2	1	68	None	None	None	None	137	455.1233	455.62366	455.1233	455.62366	454.62296	454.6229495	j	455.1233	None	j	0.6217756	1	0.6217756
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	70	manmade_008.jpg	scenes	manmade	sof_images/scenes/manmade_008.jpg	1	1	69	None	None	None	None	113	457.515	458.01532	457.515	458.01532	457.01462	457.0146186	None	457.515	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	71	endive.jpg	objects	natural	sof_images/objects/endive.jpg	1	1	70	None	None	None	None	116	459.65646	460.1568	459.65646	460.1568	459.15613	459.1561224	None	459.65646	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	72	endive.jpg	objects	natural	sof_images/objects/endive.jpg	2	1	71	None	None	None	None	132	461.83798	462.3384	461.83798	462.3384	461.33762	461.3376307	j	461.83798	None	j	1.1662495	1	1.1662495
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	73	neutral_006.jpg	faces	female	sof_images/faces/neutral_006.jpg	1	1	72	None	None	None	None	126	464.17972	464.68005	464.17972	464.68005	463.6793	463.67928	None	464.17972	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	74	manmade_042.jpg	scenes	manmade	sof_images/scenes/manmade_042.jpg	1	1	73	None	None	None	None	136	466.46127	466.96155	466.46127	466.96155	465.96088	465.9608638	None	466.46127	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	75	neutral_082.jpg	faces	male	sof_images/faces/neutral_082.jpg	1	1	74	None	None	None	None	127	468.84296	469.34332	468.84296	469.34332	468.3426	468.342591	None	468.84296	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	76	neutral_015.jpg	faces	female	sof_images/faces/neutral_015.jpg	1	1	75	None	None	None	None	127	471.1446	471.6448	471.1446	471.6448	470.64413	470.644137	None	471.1446	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	77	manmade_048.jpg	scenes	manmade	sof_images/scenes/manmade_048.jpg	1	1	76	None	None	None	None	116	473.4462	473.94644	473.4462	473.94644	472.9458	472.9457863	None	473.4462	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	78	brusselssprout.jpg	objects	natural	sof_images/objects/brusselssprout.jpg	1	1	77	None	None	None	None	121	475.62762	476.12796	475.62762	476.12796	475.12726	475.127273	None	475.62762	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	79	macaque.jpg	objects	natural	sof_images/objects/macaque.jpg	1	1	78	None	None	None	None	137	477.85916	478.3596	477.85916	478.3596	477.35883	477.3588189	None	477.85916	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	80	manmade_041.jpg	scenes	manmade	sof_images/scenes/manmade_041.jpg	1	1	79	None	None	None	None	121	480.26086	480.7613	480.26086	480.7613	479.7606	479.7605878	None	480.26086	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	81	neutral_070.jpg	faces	female	sof_images/faces/neutral_070.jpg	1	1	80	None	None	None	None	125	482.4925	482.99277	482.4925	482.99277	481.9921	481.9920862	None	482.4925	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	82	neutral_077.jpg	faces	female	sof_images/faces/neutral_077.jpg	1	1	81	None	None	None	None	129	484.754	485.25433	484.754	485.25433	484.25363	484.2536386	None	484.754	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	83	chessknight.jpg	objects	manmade	sof_images/objects/chessknight.jpg	1	1	82	None	None	None	None	130	487.07565	487.57605	487.07565	487.57605	486.57526	486.5752527	None	487.07565	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	84	neutral_023.jpg	faces	female	sof_images/faces/neutral_023.jpg	1	1	83	None	None	None	None	120	489.3973	489.89758	489.3973	489.89758	488.8969	488.8969099	None	489.3973	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	85	neutral_016.jpg	faces	male	sof_images/faces/neutral_016.jpg	1	1	84	None	None	None	None	115	491.62878	492.12915	491.62878	492.12915	491.12845	491.1284416	None	491.62878	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	86	shoelace.jpg	objects	manmade	sof_images/objects/shoelace.jpg	1	1	85	None	None	None	None	136	493.79028	494.2907	493.79028	494.2907	493.28995	493.2899398	None	493.79028	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	87	natural_007.jpg	scenes	natural	sof_images/scenes/natural_007.jpg	1	1	86	None	None	None	None	125	496.18204	496.6824	496.18204	496.6824	495.6816	495.6816166	None	496.18204	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	88	neutral_079.jpg	faces	female	sof_images/faces/neutral_079.jpg	1	1	87	None	None	None	None	119	498.46356	498.96402	498.46356	498.96402	497.9632	497.9632056	None	498.46356	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	89	rockinghorse.jpg	objects	manmade	sof_images/objects/rockinghorse.jpg	1	1	88	None	None	None	None	126	500.67517	501.17554	500.67517	501.17554	500.17474	500.1747507	None	500.67517	None	n/a	-99	1	--
99.94942561	3.1.2	sof_task	2020_Feb_03_0953	yes	set7	999	90	hanger.jpg	objects	manmade	sof_images/objects/hanger.jpg	1	1	89	None	None	None	None	121	502.95676	503.45712	502.95676	503.45712	502.45636	502.456362	None	502.95676	None	n/a	-99	1	--
